log2FoldChange padj pval genes gene_type
198 -0.718776820545274 0.00038511269782084 6.03169097412027e-06 EIF2S1 downregulated
199 -0.689356104228843 0.000400912416537703 6.3165243457672e-06 PARL downregulated
200 -0.644300004325135 0.000416930297625688 6.66606498324762e-06 VPS33A downregulated
201 -1.24140311954286 0.000421311883592961 6.77539737284163e-06 PPP1R2P3 downregulated
202 -0.568140080065793 0.000422283652802981 6.92489654352767e-06 TXNDC12 downregulated
203 -0.89308933132272 0.000422283652802981 6.96818221657834e-06 IMPAD1 downregulated
204 -0.437791289858268 0.000422283652802981 6.89896640970933e-06 PSMD11 downregulated
205 -1.12622929741758 0.000423614762374831 7.02963946326573e-06 MIGA1 downregulated
206 -0.7568601839885 0.000423614762374831 7.02171443204345e-06 SCCPDH downregulated
207 -0.519323318554541 0.000441677125141162 7.43231446305689e-06 PA2G4 downregulated
208 -0.768211471594108 0.000446056142256346 7.53581138129144e-06 PDE10A downregulated
209 -0.802920474959575 0.000446206348183671 7.57092764363289e-06 RUFY3 downregulated
210 -0.813816501586608 0.000446843033518707 7.6442172796982e-06 ATOX1 downregulated
211 -0.613636842471226 0.000446843033518707 7.6393148794007e-06 UQCRC2 downregulated
212 -0.876098142423434 0.000452891509075665 7.76880041671769e-06 TWISTNB downregulated
213 -0.739056261228941 0.000452965736020552 7.79118801993119e-06 SIAE downregulated
214 -0.85350393732788 0.000461427450138812 7.97975033801796e-06 CDC42 downregulated
215 -0.932482248919988 0.000467100224027536 8.09962631511879e-06 OSTF1 downregulated
216 -0.659835758676614 0.000471135034300637 8.21351339339199e-06 RTCA downregulated
217 -0.799335561950108 0.000484117200849493 8.48497028478112e-06 SNX4 downregulated
218 -0.427752592424643 0.000497074553595707 8.75841053741562e-06 CCDC47 downregulated
219 -0.725779956669479 0.000497074553595707 8.73830958187621e-06 FECH downregulated
220 -0.690326359917797 0.000510069968940563 9.03494094986314e-06 C11orf58 downregulated
221 -0.554043612872726 0.000517602039791033 9.19248483477293e-06 ALKBH6 downregulated
222 -0.694537228910797 0.000521041385354492 9.30214191911482e-06 EXOC1 downregulated
223 -0.466346614875562 0.00052204940566253 9.34447265065079e-06 KPNA1 downregulated
224 -0.952469139942562 0.000523628066313368 9.41038533563198e-06 PCYOX1L downregulated
225 -0.935143299953502 0.000523628066313368 9.42154633836573e-06 ATP6AP2 downregulated
226 -0.673157041733395 0.000528248088781032 9.5539205913877e-06 SNRPB2 downregulated
227 -0.465210942507655 0.000531273269534694 9.6333986784597e-06 ZNF512 downregulated
228 -0.538798346963987 0.000535851351489809 9.7413894131835e-06 UBR7 downregulated
229 -1.35263448821218 0.000541993938535403 1.00265659570932e-05 NLRP14 downregulated
230 -0.362534352486308 0.000541993938535403 9.94729743401288e-06 VIPAS39 downregulated
231 -0.638004812867185 0.000541993938535403 9.94743848023814e-06 G6PC3 downregulated
232 -0.549248617266456 0.00054471189398728 1.01055951991301e-05 WBP11 downregulated
233 -0.692062008682559 0.000546085888443545 1.0163098626408e-05 XRCC5 downregulated
234 -0.921620140299576 0.000546085888443545 1.01819957757618e-05 PSMD10 downregulated
235 -0.705667606077181 0.000555730450960295 1.04391021187848e-05 PSMD1 downregulated
236 -0.823573153024325 0.000555730450960295 1.04475616294034e-05 ECHDC1 downregulated
237 -0.328531630165941 0.000566896213123975 1.07549880548855e-05 RNF4 downregulated
238 -0.655473145384128 0.000566896213123975 1.07327055578873e-05 VCP downregulated
239 -1.1576628463108 0.000570600096661241 1.09803157064322e-05 HMGCS1 downregulated
240 -0.493983077073667 0.000570600096661241 1.09848431418027e-05 COX15 downregulated
241 -0.575948862520475 0.000574999507891428 1.11231434193326e-05 BLOC1S1 downregulated
242 -0.809009655983233 0.000578989845703137 1.12447032565798e-05 PSMD14 downregulated
243 -0.883508872759061 0.000578989845703137 1.12813012401021e-05 SMIM14 downregulated
244 -0.823816522902564 0.00058016679674052 1.13312771096946e-05 IDI1 downregulated
245 -0.650357744640367 0.000581623740026639 1.14139558360703e-05 ANAPC13 downregulated
246 -0.640738501480513 0.000581623740026639 1.13868767954209e-05 LANCL2 downregulated
247 -0.757687085625113 0.000590551058362934 1.16717311679431e-05 ACADSB downregulated
248 -0.561588657902976 0.000592828449310479 1.18272771316312e-05 GPATCH2 downregulated
249 -0.515776566733477 0.000592828449310479 1.1786573312471e-05 CKAP5 downregulated
250 -0.648476149070301 0.000592828449310479 1.18068007732499e-05 TIMM10 downregulated
251 -0.936570876433641 0.000595545373617147 1.1909241844113e-05 FARSB downregulated
252 -0.582972786217084 0.000604224674869779 1.21524633135644e-05 ARCN1 downregulated
253 -0.625439991928149 0.000604224674869779 1.21672987248284e-05 SLC39A9 downregulated
254 -0.514859392004795 0.000614871907426877 1.24676865580894e-05 COMMD9 downregulated
255 -0.706551768914669 0.000621914816240807 1.26972912496573e-05 NLN downregulated
256 -0.773761942338382 0.000621914816240807 1.27676477869103e-05 GLO1 downregulated
257 -0.458088287485235 0.000621914816240807 1.27844326649977e-05 PRPF4 downregulated
258 -0.744917751789307 0.000621914816240807 1.27436261320929e-05 UQCRFS1 downregulated
259 -1.2297962438225 0.000624478065790099 1.28785360921606e-05 TOLLIP-AS1 downregulated
260 -0.695799591088003 0.000624546820513484 1.29747278458492e-05 HMGCL downregulated
261 -0.745768701290754 0.000624546820513484 1.30029088049415e-05 NIF3L1 downregulated
262 -0.57147092350099 0.000624546820513484 1.30658565127786e-05 SLC25A5 downregulated
263 -0.65023795048473 0.000624546820513484 1.30714362751389e-05 LGMN downregulated
264 -0.515802553641665 0.000624546820513484 1.30711000050837e-05 SMIM7 downregulated
265 -0.342103033564304 0.000625530528229043 1.31211829442535e-05 LRRC41 downregulated
266 -0.711456289457543 0.000634010286103663 1.33581619968702e-05 BRIX1 downregulated
267 -0.909831988923818 0.000637495110328563 1.34613007494914e-05 TMEM59 downregulated
268 -0.598215080187542 0.000639317746894105 1.35891899773324e-05 RRAGB downregulated
269 -0.960257956227884 0.000639317746894105 1.35590252068237e-05 GOLT1B downregulated
270 -0.387174559176925 0.000641027729323959 1.37482251359472e-05 UTP3 downregulated
271 -0.61827284575724 0.000641027729323959 1.37897368856494e-05 CHP1 downregulated
272 -0.65653425549374 0.000641027729323959 1.37419534642298e-05 RTCB downregulated
273 -0.452779579074596 0.000654689052657205 1.41600578209548e-05 ARPC4 downregulated
274 -0.70937831688188 0.000655182546134889 1.42098875123872e-05 ACP1 downregulated
275 -0.659590521388776 0.000655182546134889 1.42623525402038e-05 NDUFB6 downregulated
276 -0.544141395213074 0.000655182546134889 1.42394121738044e-05 PYM1 downregulated
277 -0.473214483136285 0.0006573803481815 1.43714810654511e-05 MRPS27 downregulated
278 -1.25002709586961 0.000661855425971423 1.45573535381843e-05 NECAB1 downregulated
279 -0.491583384546153 0.000678598210937936 1.50692139014953e-05 NDUFA13 downregulated
280 -0.60188152500834 0.000678708437461295 1.52148305690439e-05 COX5B downregulated
281 -0.639389934464974 0.000678708437461295 1.51487457567171e-05 HNRNPK downregulated
282 -0.900745714499832 0.000683057214885597 1.53982927784057e-05 OAT downregulated
283 -0.94623865511127 0.000693948655770055 1.56884863678029e-05 STAT1 downregulated
