ID	adj.P.Val	P.Value	t	B	logFC	FC	Gene.symbol	Gene.title
10025919972	0,000193	8,98E-05	3,9869289	0,3833308	0,0359	1,02519617424197	HSZFP36	ZFP-36 for a zinc finger protein
10031920498	6,14E-07	2,16E-07	5,3459115	6,1664048	0,0353	1,02476989578761	ZNF620	zinc finger protein 620
10025906770	3,75E-05	1,6E-05	4,4077033	2,0233434	0,035	1,0245568230328	ZNF555	zinc finger protein 555
10023822892	0,0116	0,00696	2,7229833	-3,6525415	0,0349	1,02448580862668	ZEB2	zinc finger E-box binding homeobox 2
10031920378	0,000436	0,000212	3,7645728	-0,4254991	0,0346	1,02427279493999	ZFR	zinc finger RNA binding protein
10023814745	6,69E-07	2,36E-07	5,3274796	6,0788879	0,0345	1,02420180022052	ZBTB17	zinc finger and BTB domain containing 17
10031920535	5,41E-07	1,89E-07	5,3726546	6,2938032	0,0345	1,02420180022052	ZFP62	zinc finger protein 62 homolog (mouse)
10025905607	5,23E-05	2,27E-05	4,3244554	1,6877357	0,0342	1,02398884558558	ZNF3	zinc finger protein 3
10025911856	0,000614	0,000303	3,6679942	-0,7640379	0,0333	1,02335024731233	ZNF385	zinc finger protein 385
10025906469	0,0328	0,0212	2,3209823	-4,6388009	0,0333	1,02335024731233	ZNF420	zinc finger protein 420
10025905964	0,00227	0,00121	3,2761992	-2,0562857	0,0332	1,02327931653677	ZNF442	zinc finger protein 442
10023810250	0,000705	0,000351	3,6285626	-0,9000091	0,0331	1,02320839067758	ZBTB7C	zinc finger and BTB domain containing 7C
10025914588	2,68E-05	1,13E-05	4,4887573	2,35529	0,0328	1,02299564259487	ZNF44	zinc finger protein 44
10025912433	0,0328	0,0211	2,3217879	-4,636974	0,0328	1,02299564259487	ZNF660	zinc finger protein 660
10023848004	0,00231	0,00124	3,2707821	-2,0732269	0,0318	1,02228680174338	LOC441383///ZNF252	hypothetical gene supported by AF086559; BC065734///zinc finger protein 252
10025907896	5,81E-05	2,54E-05	4,2983014	1,5834194	0,0317	1,02221594467769	SLC39A13	solute carrier family 39 (zinc transporter), member 13
10023811450	0,00108	0,000552	3,5029308	-1,3244551	0,0316	1,02214509252327	ZFP57	zinc finger protein 57 homolog (mouse)
10025908430	1,12E-05	4,52E-06	4,69744	3,2331265	0,0314	1,02200340294687	GLIS1	GLIS family zinc finger 1
10025912084	1,99E-05	8,27E-06	4,5607708	2,6544648	0,0314	1,02200340294687	ZNF187	zinc finger protein 187
10025904017	0,000118	5,34E-05	4,117232	0,8760828	0,0311	1,02179090540827	ZC3H3	zinc finger CCCH-type containing 3
10025909869	3,2E-07	1,09E-07	5,4828072	6,8237301	0,031	1,0217200827143	ZDHHC6	zinc finger, DHHC-type containing 6
10023848894	1,86E-05	7,68E-06	4,5775933	2,7249252	0,0302	1,02115367785386	ZNF28	zinc finger protein 28
10025908497	0,0265	0,0168	2,4079189	-4,4381511	0,0301	1,02108289932762	ZNF213	zinc finger protein 213
10025917746	0,000144	6,58E-05	4,0651889	0,6776308	0,0299	1,02094135699225	LOC646698	similar to zinc finger and SCAN domain containing 5
10025912950	5,34E-06	2,07E-06	4,8695024	3,9816059	0,0298	1,02087059318246	ZNF562	zinc finger protein 562
10025909273	0,000392	0,000189	3,7941877	-0,3201302	0,0297	1,02079983427746	GATAD1	GATA zinc finger domain containing 1
10025904304	0,0114	0,00682	2,7301358	-3,6336531	0,0297	1,02079983427746	ZNF235	zinc finger protein 235
10023827035	0,00173	0,000908	3,3611132	-1,787398	0,0296	1,02072908027693	ZXDC	ZXD family zinc finger C
10025904576	0,046	0,0305	2,1768877	-4,9558358	0,0295	1,02065833118053	ZNF264	zinc finger protein 264
10025911503	0,000178	8,25E-05	4,0084915	0,4639216	0,0294	1,02058758698791	ZSWIM1	zinc finger, SWIM-type containing 1
10025912858	0,000326	0,000155	3,8458339	-0,1346341	0,0291	1,02037538382934	ZBTB12	zinc finger and BTB domain containing 12
10023813932	0,00174	0,000914	3,359142	-1,793711	0,0289	1,02023393956966	ZNF250	zinc finger protein 250
10025902603	0,0081	0,00471	2,8536348	-3,3002094	0,0288	1,0201632247926	ZNF268	zinc finger protein 268
10025903823	0,0311	0,0199	2,3435476	-4,5873959	0,0287	1,02009251491695	ZNF573	zinc finger protein 573
10025925996	0,000934	0,000472	3,5466661	-1,178216	0,0287	1,02009251491695	ZNF630	zinc finger protein 630
10025907388	0,000585	0,000288	3,6818897	-0,7158106	0,0286	1,02002180994236	ZBTB39	zinc finger and BTB domain containing 39
10025909321	0,00387	0,00214	3,1047753	-2,5799498	0,0286	1,02002180994236	ZIM2	zinc finger, imprinted 2
10025906032	0,0343	0,0222	2,3032086	-4,6789564	0,0284	1,01988041469503	ZC3H7B	zinc finger CCCH-type containing 7B
10025904430	0,000477	0,000233	3,7394818	-0,5142004	0,0284	1,01988041469503	ZNHIT1	zinc finger, HIT type 1
10023812268	0,0462	0,0306	2,17502	-4,9598174	0,0273	1,01910309111514	ZNF467	zinc finger protein 467
10023815603	8,59E-06	3,41E-06	4,7601048	3,5031659	0,0268	1,01874995809481	ZMYM3	zinc finger, MYM-type 3
10025912820	0,000301	0,000143	3,8675889	-0,0558371	0,0264	1,01846753978365	ZNRD1	zinc ribbon domain containing 1
10025913155	0,00128	0,00066	3,4527418	-1,4902628	0,0263	1,01839694743985	ZBTB43	zinc finger and BTB domain containing 43
10023810583	0,00108	0,000552	3,5030299	-1,3241256	0,0257	1,0179734961165	ZNF107	zinc finger protein 107
10025921783	0,000703	0,00035	3,6290633	-0,8982909	0,0256	1,01790293801601	ZNF131	zinc finger protein 131
10025910620	0,000359	0,000173	3,8182544	-0,2339654	0,0253	1,01769129305647	ZFYVE1	zinc finger, FYVE domain containing 1
10025904333	0,00348	0,00191	3,1400877	-2,4741868	0,0252	1,01762075451613	ZNF285A	zinc finger protein 285A
10025910873	0,00233	0,00124	3,2689301	-2,079013	0,0247	1,01726813514551	ZNF211	zinc finger protein 211
10025902827	0,00515	0,0029	3,0099208	-2,8585888	0,0245	1,0171271216121	ZNF501	zinc finger protein 501
10023817916	0,0255	0,0161	2,4234721	-4,4015141	0,0235	1,01642234709993	ZNF700	zinc finger protein 700
10025924898	0,00092	0,000465	3,551026	-1,1635483	0,0232	1,01621100998861	ZNF229	zinc finger protein 229
10025912488	0,000813	0,000408	3,5873735	-1,0406405	0,0232	1,01621100998861	ZNF586	zinc finger protein 586
10025904069	0,0239	0,015	2,4505533	-4,3371872	0,0231	1,01614057405011	SLC30A6	solute carrier family 30 (zinc transporter), member 6
10025904759	0,0239	0,015	2,4502046	-4,3380199	0,0231	1,01614057405011	ZNF775	zinc finger protein 775
10023826088	0,00247	0,00133	3,2498337	-2,1384997	0,0229	1,01599971681903	ZNF364	zinc finger protein 364
10025919439	0,0314	0,0201	2,3399167	-4,5956993	0,0229	1,01599971681903	ZNF473	zinc finger protein 473
10025906174	0,0046	0,00257	3,04766	-2,7486832	0,0226	1,01578846758206	ZNF571	zinc finger protein 571
10025902371	0,00603	0,00344	2,9559561	-3,0135458	0,0225	1,01571806093096	ZNF383	zinc finger protein 383
10031920765	0,033	0,0213	2,3189861	-4,6433255	0,0223	1,01557726226857	LOC441193	similar to zinc finger protein 469
10025903959	0,0133	0,00801	2,6747563	-3,7786872	0,0216	1,01508462063266	ZNF560	zinc finger protein 560
10025909509	0,00571	0,00324	2,9749536	-2,9592917	0,0209	1,01459221796997	ZSCAN21	zinc finger and SCAN domain containing 21
10025912028	0,00453	0,00253	3,0530459	-2,7328954	0,0202	1,0141000541646	ZNF140	zinc finger protein 140
10025907283	0,000512	0,00025	3,7197753	-0,5834986	0,0198	1,01381892490185	ZNF639	zinc finger protein 639
10025910093	0,00304	0,00165	3,1844618	-2,339728	0,0196	1,01367838949737	ZNF282	zinc finger protein 282
10025912107	0,0113	0,00677	2,7323716	-3,6277391	0,0185	1,01290579292308	IKZF4	IKAROS family zinc finger 4 (Eos)
10025913081	0,00208	0,00111	3,3034149	-1,9707857	0,0178	1,01241444717777	ZNRF4	zinc and ring finger 4
10023806455	0,0136	0,00822	2,6658181	-3,8018341	0,0176	1,01227410646175	ZSWIM5	zinc finger, SWIM-type containing 5
10025912824	0,00308	0,00168	3,17933	-2,3553663	0,0175	1,01220394339916	ZNF394	zinc finger protein 394
10025907004	0,0495	0,0331	2,144217	-5,0250086	0,0174	1,01213378519973	ZNF101	zinc finger protein 101
10025903451	0,0273	0,0173	2,3968398	-4,4641122	0,0171	1,01192333977707	ZMIZ1	zinc finger, MIZ-type containing 1
10025902314	0,0236	0,0148	2,4556005	-4,3251233	0,0171	1,01192333977707	ZNF354A	zinc finger protein 354A
10025904871	0,0306	0,0196	2,3506668	-4,5710794	0,017	1,01185320102693	ZNF256	zinc finger protein 256
10025907503	0,01	0,00592	2,7778936	-3,5063435	0,0164	1,01143247060537	ZNF613	zinc finger protein 613
10025902177	0,0141	0,00854	2,6527453	-3,8355565	0,0162	1,01129226601077	ZNF581	zinc finger protein 581
10023847434	0,0339	0,0219	2,3074689	-4,669358	0,0155	1,01080170296369	ZFP106	zinc finger protein 106 homolog (mouse)
10025908997	0,0367	0,0239	2,2739385	-4,7444423	0,0148	1,01031137788156	ZNF691	zinc finger protein 691
10025910291	0,00322	0,00176	3,1652566	-2,3981343	0,0145	1,01010131137845	ZNF671	zinc finger protein 671
